Institucion_normalizada,Nro_Institucion,Tipo,Propiedad,Short_name,Fecha_procesada,año,Short_name_año,ROA,ROE,Apalancamiento_Global,Deterioros_Vencidos,Cobertura_Morosidad,Tasa_Morosidad,Credito_Activo,Deterioro_Credito,Ratio_Eficiencia,Intereses_C_Vigente,Comisiones_C_Vigente,Comisiones_perd_C_Vigente,Incobrables_C_Vigente,Gastos_C_Vigente,GPersonal_C_Vigente,Ctos_Ints_C_Vigente,Resultados_C_Vigente,Incob_C_Bruta,Incob_C_Ints,Ingr_C_Bruta,incr_Cartera,incr_Mora,incr_G_Personal,incr_Ingresos,incr_Incob,Ratio_Eficiencia_ctrol,Activos_promedio,Activos_promedio.1,ROA_1,ROE_1
Banco Bilbao Vizcaya Argentaria Uruguay S.A.,153,Banco,Privado,BBVA,2021-12-31,2021,BBVA_2021,0.0061799884147413,0.1011395937006666,13.003394560509832,2.314850932567021,57.71062573320112,0.0107354474903908,0.5006128929644799,0.0229651765674159,0.7926916080044292,0.0702116774348741,0.0235236375787991,0.0094748051063537,0.0086651232266337,0.0216404779254442,0.0286465012726748,0.0223211966173935,0.0108612684544331,0.0085791582583752,0.1234142744228149,0.0695151213139514,0.1059406565874114,-0.2952675844909732,0.0526529829224542,-0.0730875085655768,-0.1517220666540648,0.7926914442463519,3785.122391745544,3785.122391745544,0.0059738582036926,0.1029866549564961
Banco Bilbao Vizcaya Argentaria Uruguay S.A.,153,Banco,Privado,BBVA,2022-12-31,2022,BBVA_2022,0.0077697599329497,0.1260885974655274,11.783804365526706,3.3556144666274355,45.81076571964948,0.0062645039379826,0.576301465290537,0.020040918029006,0.7272135042092428,0.0839038938586761,0.0253608342242108,0.0104702807954206,0.0085822776499955,0.0221334090650204,0.0302290958444901,0.0270902870959036,0.01245868503694,0.008531021248345,0.1022870007016737,0.0834027900889017,0.1523711967786229,-0.3090244793635203,0.2160346921346079,0.3770989971005012,0.141353597397589,0.7272133645621478,3979.6423223674497,3979.6423223674497,0.0076469502738085,0.1174242018593516
Banco Bilbao Vizcaya Argentaria Uruguay S.A.,153,Banco,Privado,BBVA,2023-12-31,2023,BBVA_2023,0.0197327518593236,0.2647430988129547,9.041972356138062,2.9329734889413377,46.396675047761896,0.0078601873719186,0.6321927117841086,0.022430196763838,0.5903917036258255,0.0984300623732688,0.0260695418987797,0.0106795209321625,0.0099359307163851,0.0218425009280979,0.0315506236602114,0.0268590898831122,0.0293589610838046,0.0098599447299732,0.1009440660385431,0.0976773089981184,0.1155045861831618,0.4308143578849561,0.164271189947607,0.3086303977812621,0.291449278867312,0.5903916012742363,4119.114110068347,4119.114110068347,0.0193773045053353,0.2317599040857943
Banco Galicia Uruguay S.A.,189,Banco,Privado,Galicia,2003-12-31,2003,Galicia_2003,0.1016868212599041,-7.57436530880298,-1.9394282434719647,1.591515948671821,-14.405299483934224,0.253348662440171,0.9331319993658042,0.4032084368482058,0.0518775148985025,0.2762622456441626,0.0004441878093093,0.0003837951771802,-0.0877312443320571,0.0103682070839198,0.0045315611518052,0.0387284361501538,0.5152817893793366,-0.0655046509263186,-0.3175650879384319,0.206271575227496,,,,,,0.1994912969299872,2290.9654060840453,2290.9654060840453,0.60156567756148,-0.5651278376102901
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2003-12-31,2003,BHU_2003,-0.2551213864234004,1.0244408508806735,150.72110560136144,0.2188118947579891,0.0211917730791544,0.6047117028407805,0.5582336705718415,0.1323181134809212,-0.4070826540364151,0.376226746168024,0.0023368714667461,0.0027509923365911,0.3674211372419593,0.1468999272355302,0.0748009623421598,0.3660052827569933,-0.6588268690137428,0.1452372599026663,0.9765949417053617,0.1487180136823649,,,,,,0.8025636181968658,811.3020819112627,811.3020819112627,-0.1675485636408951,-25.42065331751667
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2004-12-31,2004,BHU_2004,0.0701508514306165,1.5734300353369144,11.378225814049044,0.3004677511045509,0.3004410088718866,0.6569745461044236,0.4553751058522721,0.1973996644009292,1.5831271303039511,0.7840224836484128,0.0038759206063461,0.0022775733698835,0.2841816866737064,0.2784730888229549,0.0804561102752805,0.5199916736140952,0.3519462250232862,0.0974815520600586,0.3624662463138557,0.2689396683178339,-0.1968424014855149,0.0055148863169687,-0.1361215913382715,0.6737077349285481,-0.3787981749663346,0.4446781043562019,1265.9084283179304,1265.9084283179304,0.0684971666029945,0.8478733958344052
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2005-12-31,2005,BHU_2005,-0.0069501797239742,-0.1374863640768386,47.04789044278468,0.2650196611234435,0.0646908735666194,0.6685502825102995,0.5248799868186501,0.177178969314862,-2.9326950913490824,0.5273386365774957,0.0054423565509577,0.0002572809925328,0.6036733710599381,0.3066409762860774,0.0840034351776965,0.2512738982477496,-0.0326021768830646,0.2000873385029752,1.1447546779008375,0.1747862160911889,0.1044856216645992,0.1631999070796066,0.1531825986460355,-0.2571157664539041,1.3462052263876232,1.7063550346785592,1307.2828305526466,1307.2828305526466,-0.006893167287108,-0.331202146614756
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2006-12-31,2006,BHU_2006,0.0502887483513233,2.372500114717478,45.33003631137,0.3058089541522288,0.0525749196122788,0.8214185901296782,0.5185855607322978,0.2511971599687552,2.200586898720729,1.0144367137650214,0.0109515607656114,0.0001896561004268,0.1792138437274353,0.7185940161088357,0.1570245877582191,0.4051325967804671,0.4086230814774794,0.0320042608811249,0.176663404720728,0.1811595385683737,-0.4207781108822889,0.3208599063986013,0.0827185598642499,0.1142440719891937,-0.8280451215901907,0.9480060565804054,1311.644150738045,1311.644150738045,0.0505373050756385,2.341395252753903
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2007-12-31,2007,BHU_2007,0.1479816990937497,2.6783456525155755,10.941040421625525,0.3998700493695453,0.2512764350097752,0.6434409878846254,0.5775248645272033,0.2572927795918142,0.5771562893719172,0.5419692188670738,0.0038473152770876,4.71015470193096e-05,0.0571931350528624,0.1623775250997943,0.0903679620716152,0.215930461146989,0.4927258024232602,0.0203927255159182,0.105528382538806,0.19324398825519,1.6488069432094026,0.0392005738795286,0.5243936557728623,0.4151418323700473,-0.1546770602033381,0.8673312944393442,1423.6773015630956,1423.6773015630956,0.1366122728618412,1.6312926723333818
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2008-12-31,2008,BHU_2008,0.0094048042661894,0.081761198468734,5.983708407517177,0.3835349321918125,0.3144931759913241,0.5934693129076101,0.889819916095354,0.2276162126839418,1.276069022459359,0.2820177402183451,0.0033743188937389,2.9587164862651545e-05,0.074599633958653,0.0372349350909815,0.0380806775440277,0.0937907495370734,0.0190796262270867,0.0303270404500519,0.2645210684295824,0.1146488657032068,0.8763387870538428,0.5178848899343744,-0.2093187599325874,-0.0236330658868283,1.4473948939372605,1.3850154724652568,1627.5922842271143,1627.5922842271143,0.0089357738586816,0.062404839024547
