"Institucion_normalizada","Nro_Institucion","Tipo","Propiedad","Short_name","Fecha_procesada","año","Short_name_año","ROA","ROE","Apalancamiento_Global","Deterioros_Vencidos","Cobertura_Morosidad","Tasa_Morosidad","Credito_Activo","Deterioro_Credito","Ratio_Eficiencia","Intereses_C_Vigente","Comisiones_C_Vigente","Comisiones_perd_C_Vigente","Incobrables_C_Vigente","Gastos_C_Vigente","GPersonal_C_Vigente","Ctos_Ints_C_Vigente","Resultados_C_Vigente","Incob_C_Bruta","Incob_C_Ints","Ingr_C_Bruta","incr_Cartera","incr_Mora","incr_G_Personal","incr_Ingresos","incr_Incob","Ratio_Eficiencia_ctrol","Activos_promedio","Activos_promedio.1","ROA_1","ROE_1","SOM.cell","Superclass"
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2019-12-31,2019,"BROU_2019",0.0274071675725071,0.251091516127936,8.01657827944793,1.86889590465304,24.4286255002714,0.0466258345902939,0.236973908428621,0.073279962328832,0.460958731462505,0.190099234945113,0.0250467247374499,0.00785434265958,0.0294887913546876,0.0368245522002792,0.0572921683826,0.0210329668965767,0.0917747244238802,0.0283325271057189,0.155123145883264,0.182645387600895,-0.0279396216343253,-0.196912573441412,-0.0420190149186067,0.0079564520690418,0.452659413499378,0.460958731462505,17224.5164577751,17224.5164577751,0.0272190974824053,0.245423122767022,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2020-12-31,2020,"BROU_2020",0.0280486701191867,0.261001331140326,8.59591279307255,1.68948734529105,22.3520184506333,0.045792829434865,0.230299160455474,0.0663677929082673,0.441261244905987,0.177450339009874,0.0245652574276471,0.0079689069814127,0.0217617986837012,0.0363098460684248,0.0533900158522259,0.0191737761967985,0.0976158773659031,0.0209069343067946,0.12263599385116,0.17047959290132,-0.0034094865510543,-0.0014913537544739,-0.0712869696972963,-0.0697210090477199,-0.264547608516518,0.441261244905987,17840.7472667972,17840.7472667972,0.0272881545245133,0.261854751101118,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2021-12-31,2021,"BROU_2021",0.0205707592710113,0.208427551915423,9.68961682679231,3.21351716646887,57.8618467679007,0.0236355931452369,0.219249638563323,0.0669010379666665,0.472120361749868,0.164322001338419,0.0257570719911448,0.0103118525937004,0.0071513873657634,0.0362535779738531,0.0523054287221305,0.0163546161921548,0.0753742636122006,0.0070025052491021,0.0435205712413108,0.160901041722889,0.0113486730906304,-0.474124261800802,-0.0091962871863835,-0.0634741024419294,-0.667649433383518,0.472120361749869,18996.7156910867,18996.7156910867,0.0198813330957316,0.212523833041112,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2022-12-31,2022,"BROU_2022",0.0110605125324353,0.119152340320897,9.849075094373,2.88022510637289,79.148832315035,0.0260709560384657,0.241787149384917,0.0688102411382576,0.580238035331485,0.185077404606874,0.0285412499397858,0.0123763658769402,0.0264756377557942,0.0390770264429743,0.0520240237152371,0.0200178116836159,0.03781756906178,0.0258431194810365,0.143051702135285,0.180655798534969,0.167559443163656,0.344058130008908,0.161277933171692,0.315033103935635,3.32250125668558,0.580695981412851,20696.7960434344,20696.7960434344,0.0105306763990912,0.114248099048282,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2023-12-31,2023,"BROU_2023",0.0274078610991204,0.270589631558527,8.08279553280301,2.34661964749671,58.8716826299184,0.0295338737120704,0.275835035569558,0.0660599335733266,0.440195575951472,0.205891411812469,0.0262604486513914,0.013641063466784,0.0199910907230472,0.0370914387936179,0.0504934800747434,0.0220921576375164,0.0891742305445984,0.0194283194504928,0.0970953112957215,0.200095341280902,0.122975952747964,0.329042894452012,0.089938067937022,0.249267055769718,-0.152068994210656,0.440501388377044,22116.655126179,22116.655126179,0.0269466659595409,0.244751057201253,4,1
"Banque Heritage (Uruguay) S.A.",162,"Banco","Privado","Heritage",2013-12-31,2013,"Heritage_2013",0.0336438296021116,0.53377101946709,16.7561637978696,5.34863903367254,71.3740482233503,0.0027470030008627,0.359978165926174,0.0146927274760299,0.96242271932423,0.0159535786504089,0.0251281853772839,0.006227693328663,0.0003092538459031,0.0147398085816688,0.0311667256535522,0.0060613298006531,0.0669503810522424,0.0003084043246604,0.0193846065939091,0.0159097541219817,1.84427531272077,Inf,-0.0347008356406484,-0.49007361331993,-0.645828263098989,2.05407497300551,408.245951291448,408.245951291448,0.0243928685211956,0.433123732999152,4,1
"Banque Heritage (Uruguay) S.A.",162,"Banco","Privado","Heritage",2014-12-31,2014,"Heritage_2014",0.0056606141157187,0.092956486209894,14.1168372557417,11.6717752234994,100,0.0015265982223186,0.464471739520918,0.0178181113074969,0.765678289941048,0.0759925323205066,0.0341207698519333,0.0069241301301908,0.002642303158178,0.0241054024226822,0.0566356424595484,0.0254630332291145,0.0128779660673955,0.0026382694228739,0.034770563336853,0.0758765222557567,0.128486274109314,-0.373630287798493,1.05066601642443,4.37537887502764,8.64192648059508,1.87762735717244,526.689020956534,526.689020956534,0.0060806660117122,0.0919204385055738,4,1
"Banque Heritage (Uruguay) S.A.",162,"Banco","Privado","Heritage",2015-12-31,2015,"Heritage_2015",0.0010386490469019,0.0169008926125623,16.5718587770745,27.7201872762324,100,0.0006090698910635,0.387362891384008,0.016883531444596,0.793341284503792,0.0817817703737732,0.0364551906312222,0.0058976988098357,0.0072073847285888,0.0263501488859277,0.0590590637633924,0.0364385740855403,0.0025955380043058,0.0072029937185788,0.0881294779465939,0.0817319458415925,-0.13852025494029,-0.656609228923982,-0.101657807966213,-0.0728912889100017,1.34984995545074,1.92880740238379,498.395572056832,498.395572056832,0.0010220585265979,0.0179594680912838,4,1
"Banque Heritage (Uruguay) S.A.",162,"Banco","Privado","Heritage",2016-12-31,2016,"Heritage_2016",-0.0040372504627565,-0.0643391121201289,13.3484690958034,1.14496108617849,10.4915352461745,0.030626350004741,0.356028006279788,0.0350659789671109,0.939004430127651,0.0993326239363813,0.0491998868375007,0.0066733119347624,0.0078940041599109,0.0385600543108204,0.0825576968335364,0.032398710701327,-0.0123545450201208,0.0076522379087855,0.079470408080297,0.096290406625995,-0.236090360550846,38.6017446009046,0.0678567590323189,-0.0721508156405247,-0.163315668762927,2.09198037316042,466.228334159156,466.228334159156,-0.0044188006857534,-0.0634030250800482,4,1
"Banque Heritage (Uruguay) S.A.",162,"Banco","Privado","Heritage",2017-12-31,2017,"Heritage_2017",-0.0038959421604782,-0.0550552118638102,12.9052440563213,0.997405448077673,7.35559522174928,0.0406941769224998,0.429835392228612,0.040588593767538,0.926509199917304,0.0897052583517484,0.0430264977932459,0.0044925323212798,0.0104571188902805,0.0381314937113532,0.0716820379160661,0.0226931997178817,-0.0094061183058695,0.0100315750440599,0.116571972283682,0.0860547766975038,0.117491762736396,0.500428795144833,-0.0297199415715512,0.0091839247740213,0.480331652368374,1.98029942802012,411.054935184967,411.054935184967,-0.0040426376104136,-0.0562138626040647,4,1
"Banque Heritage (Uruguay) S.A.",162,"Banco","Privado","Heritage",2018-12-31,2018,"Heritage_2018",0.0068401177606322,0.0830577653693234,9.50998325415534,0.831588039342942,7.46339537615083,0.0431032717956905,0.32936141671645,0.0278853495666662,0.898392424707273,0.0851889172079141,0.0457128391777399,0.0048887041779983,0.0068363977758721,0.0521665859520651,0.083611944903892,0.0272924701409207,0.0179364280642745,0.0066071552659146,0.0802498493928152,0.082332307361391,-0.194374529501113,-0.341070925896151,-0.0602957950023963,-0.234934910528811,-0.473318011156634,0.878335711285792,359.672720951402,359.672720951402,0.0076118639084398,0.0800005622106121,4,1
"Banque Heritage (Uruguay) S.A.",162,"Banco","Privado","Heritage",2019-12-31,2019,"Heritage_2019",0.0063136983969172,0.068080460272384,10.0665468846266,0.961443315706716,8.07825700826147,0.043941584000665,0.314542534409696,0.0317233819900065,0.874627990092691,0.0862349870934656,0.0407456858895654,0.0043568350590891,0.0153496286103515,0.0467240599597769,0.066377174628494,0.0157804797792384,0.0148275429184882,0.0148431586485342,0.177997691281787,0.0833896133238947,0.0102291273286947,-0.006503012123289,-0.198007470385172,0.0226341478670633,1.26824746368373,0.878641437008315,325.417094323237,325.417094323237,0.0062710978173538,0.0693993980138256,4,1
